word,normalized,category_key,decision,review_comment
planets,planets,stargazing,approved,[политика] связь сильная и читаемая: годится как дом слова
moons,moons,stargazing,approved,[политика] связь сильная и читаемая: годится как дом слова
stars,stars,stargazing,approved,[политика] связь сильная и читаемая: годится как дом слова
constellations,constellations,stargazing,approved,[политика] связь сильная и читаемая: годится как дом слова
comet,comet,stargazing,alternative,"[критик] Слово уже живёт в категории NIGHT SKY. Как дом слова создало бы пару неразделимых категорий, как ловушка между STARGAZING и NIGHT SKY — работает честно."
telescope,telescope,stargazing,alternative,"[политика] связь верная, но не первая мысль: материал для ловушки"
eclipse,eclipse,stargazing,alternative,"[политика] связь верная, но не первая мысль: материал для ловушки"
fish,fish,aquarium_tank,approved,[политика] связь сильная и читаемая: годится как дом слова
turtles,turtles,aquarium_tank,approved,[политика] связь сильная и читаемая: годится как дом слова
crustaceans,crustaceans,aquarium_tank,alternative,"[политика] связь верная, но не первая мысль: материал для ловушки"
shellfish,shellfish,aquarium_tank,alternative,"[политика] связь верная, но не первая мысль: материал для ловушки"
coral,coral,aquarium_tank,approved,[политика] связь сильная и читаемая: годится как дом слова
filter,filter,aquarium_tank,approved,[политика] связь сильная и читаемая: годится как дом слова
gravel,gravel,aquarium_tank,alternative,"[политика] связь верная, но не первая мысль: материал для ловушки"
pets,pets,pet_store,approved,[политика] связь сильная и читаемая: годится как дом слова
birds,birds,pet_store,approved,[политика] связь сильная и читаемая: годится как дом слова
reptiles,reptiles,pet_store,approved,[политика] связь сильная и читаемая: годится как дом слова
rodents,rodents,pet_store,alternative,"[политика] связь верная, но не первая мысль: материал для ловушки"
leash,leash,pet_store,approved,[политика] связь сильная и читаемая: годится как дом слова
cage,cage,pet_store,approved,[политика] связь сильная и читаемая: годится как дом слова
kibble,kibble,pet_store,approved,[политика] связь сильная и читаемая: годится как дом слова
fruits,fruits,grocery_aisles,approved,[политика] связь сильная и читаемая: годится как дом слова
vegetables,vegetables,grocery_aisles,approved,[политика] связь сильная и читаемая: годится как дом слова
meats,meats,grocery_aisles,approved,[политика] связь сильная и читаемая: годится как дом слова
seafood,seafood,grocery_aisles,approved,[политика] связь сильная и читаемая: годится как дом слова
dairy,dairy,grocery_aisles,approved,[политика] связь сильная и читаемая: годится как дом слова
bakery,bakery,grocery_aisles,approved,[политика] связь сильная и читаемая: годится как дом слова
frozen,frozen,grocery_aisles,approved,[политика] связь сильная и читаемая: годится как дом слова
salads,salads,picnic_basket,approved,[политика] связь сильная и читаемая: годится как дом слова
desserts,desserts,picnic_basket,approved,[политика] связь сильная и читаемая: годится как дом слова
condiments,condiments,picnic_basket,alternative,"[политика] связь верная, но не первая мысль: материал для ловушки"
fruits,fruits,picnic_basket,approved,[политика] связь сильная и читаемая: годится как дом слова
blanket,blanket,picnic_basket,approved,[политика] связь сильная и читаемая: годится как дом слова
thermos,thermos,picnic_basket,approved,[политика] связь сильная и читаемая: годится как дом слова
napkins,napkins,picnic_basket,alternative,"[политика] связь верная, но не первая мысль: материал для ловушки"
silverware,silverware,kitchen_drawer,approved,[политика] связь сильная и читаемая: годится как дом слова
blades,blades,kitchen_drawer,alternative,"[политика] связь верная, но не первая мысль: материал для ловушки"
containers,containers,kitchen_drawer,alternative,"[политика] связь верная, но не первая мысль: материал для ловушки"
fasteners,fasteners,kitchen_drawer,hard_only,"[критик] «Зажимы и стяжки оказываются в кухонном ящике» — это про конкретную чужую кухню, а не про общее знание."
corkscrew,corkscrew,kitchen_drawer,approved,[политика] связь сильная и читаемая: годится как дом слова
whisk,whisk,kitchen_drawer,approved,[политика] связь сильная и читаемая: годится как дом слова
peeler,peeler,kitchen_drawer,approved,[политика] связь сильная и читаемая: годится как дом слова
footwear,footwear,wardrobe,approved,[политика] связь сильная и читаемая: годится как дом слова
hats,hats,wardrobe,approved,[политика] связь сильная и читаемая: годится как дом слова
accessories,accessories,wardrobe,approved,[политика] связь сильная и читаемая: годится как дом слова
sleepwear,sleepwear,wardrobe,approved,[политика] связь сильная и читаемая: годится как дом слова
hanger,hanger,wardrobe,approved,[политика] связь сильная и читаемая: годится как дом слова
mothball,mothball,wardrobe,alternative,"[политика] связь верная, но не первая мысль: материал для ловушки"
closet,closet,wardrobe,approved,[политика] связь сильная и читаемая: годится как дом слова
injuries,injuries,emergency_room,approved,[политика] связь сильная и читаемая: годится как дом слова
symptoms,symptoms,emergency_room,approved,[политика] связь сильная и читаемая: годится как дом слова
illnesses,illnesses,emergency_room,approved,[политика] связь сильная и читаемая: годится как дом слова
bones,bones,emergency_room,approved,[политика] связь сильная и читаемая: годится как дом слова
stretcher,stretcher,emergency_room,approved,[политика] связь сильная и читаемая: годится как дом слова
triage,triage,emergency_room,approved,[политика] связь сильная и читаемая: годится как дом слова
gurney,gurney,emergency_room,alternative,"[политика] связь верная, но не первая мысль: материал для ловушки"
