severity,word,familiarity_score,sense_key,category_key,category,category_rule,review_status,fit_score,obviousness_score,conflict,reason,recommended_action
P0,parfait,0.354,,desserts,DESSERTS,Sweet dishes served at the end of a meal,hard_only,0.97,0.92,hard_only despite high internal obviousness,Parfait is a sweet dish served as dessert,Re-evaluate with absolute thresholds; do not rank only relative to the same word other categories.
P0,tiramisu,0.351,,desserts,DESSERTS,Sweet dishes served at the end of a meal,hard_only,0.97,0.92,hard_only despite high internal obviousness,Tiramisu is a sweet dish served as dessert,Re-evaluate with absolute thresholds; do not rank only relative to the same word other categories.
P0,xylophone,0.339,,musical_instruments,MUSICAL INSTRUMENTS,Instruments played to produce music,hard_only,0.97,0.92,hard_only despite high internal obviousness,Xylophone is a musical instrument,Re-evaluate with absolute thresholds; do not rank only relative to the same word other categories.
P0,kickball,0.334,,team_sports,TEAM SPORTS,Sports played by two opposing teams,hard_only,0.97,0.92,hard_only despite high internal obviousness,Kickball is played by two opposing teams,Re-evaluate with absolute thresholds; do not rank only relative to the same word other categories.
P0,strudel,0.331,,desserts,DESSERTS,Sweet dishes served at the end of a meal,hard_only,0.97,0.92,hard_only despite high internal obviousness,Strudel is a sweet dish served as dessert,Re-evaluate with absolute thresholds; do not rank only relative to the same word other categories.
P0,souffle,0.324,,desserts,DESSERTS,Sweet dishes served at the end of a meal,hard_only,0.97,0.92,hard_only despite high internal obviousness,Souffle is a sweet dish served as dessert,Re-evaluate with absolute thresholds; do not rank only relative to the same word other categories.
P0,trapezoid,0.324,,shapes,SHAPES,Geometric shapes taught in school,hard_only,0.97,0.92,hard_only despite high internal obviousness,Trapezoid is a geometric shape,Re-evaluate with absolute thresholds; do not rank only relative to the same word other categories.
P0,eclair,0.311,,desserts,DESSERTS,Sweet dishes served at the end of a meal,hard_only,0.97,0.92,hard_only despite high internal obviousness,Eclair is a sweet dish served as dessert,Re-evaluate with absolute thresholds; do not rank only relative to the same word other categories.
P0,macaron,0.301,,desserts,DESSERTS,Sweet dishes served at the end of a meal,hard_only,0.97,0.92,hard_only despite high internal obviousness,Macaron is a sweet dish served as dessert,Re-evaluate with absolute thresholds; do not rank only relative to the same word other categories.
P0,loveseat,0.263,,furniture,FURNITURE,Movable household furniture,hard_only,0.97,0.92,hard_only despite high internal obviousness,Loveseat is a piece of household furniture,Re-evaluate with absolute thresholds; do not rank only relative to the same word other categories.
P0,awl,0.344,,hand_tools,HAND TOOLS,Tools held in the hand and used for building or repair work,hard_only,0.97,0.9,hard_only despite high internal obviousness,Awl is a hand tool used for building or repair,Re-evaluate with absolute thresholds; do not rank only relative to the same word other categories.
