category_a,category_b,conflict_type,origin,overlap_count,overlap_words,severity,note
weather,weather_words,do_not_pair,derived,19,blizzard | breeze | cloud | fog | frost | gale | hail | humidity | hurricane | lightning | mist | rain | sleet | snow | storm | sun | thunder | tornado | wind,P0,общих играбельных слов 19; пулы 36 и 26
dessert,desserts,do_not_pair,derived,17,brownie | cake | candy | cheesecake | cookie | cupcake | donut | fudge | gelato | ice cream | pastry | pie | pudding | sorbet | tart | tiramisu | trifle,P0,общих играбельных слов 17; пулы 18 и 31
accessories,fashion_accessories,do_not_pair,derived,16,belt | bowtie | bracelet | brooch | cufflinks | glasses | gloves | hat | hats | jewelry | necklace | scarf | sunglasses | suspenders | tie | watch,P0,общих играбельных слов 16; пулы 29 и 19
gemstones,jewelry_stones,do_not_pair,derived,15,amethyst | aquamarine | diamond | emerald | garnet | jade | moonstone | onyx | opal | pearl | peridot | ruby | sapphire | topaz | turquoise,P0,общих играбельных слов 15; пулы 21 и 15
office_supplies,school_supplies,do_not_pair,derived,15,binder | calculator | eraser | folder | highlighter | marker | notebook | paper | pen | pencil | planner | ruler | scissors | stapler | tape,P0,общих играбельных слов 15; пулы 30 и 27
art_class_things,art_supplies,do_not_pair,derived,14,brush | canvas | chalk | clay | easel | glitter | glue | marker | paint | palette | pastel | scissors | sketchbook | stencil,P0,общих играбельных слов 14; пулы 23 и 23
breakfast,breakfast_foods,do_not_pair,derived,14,bacon | bagel | bread | cereal | egg | eggs | granola | milk | omelet | pancake | pancakes | sausage | waffle | yogurt,P0,общих играбельных слов 14; пулы 20 и 34
fabric_types,fabrics,do_not_pair,derived,14,canvas | cashmere | chiffon | corduroy | cotton | denim | flannel | lace | linen | satin | silk | tweed | velvet | wool,P0,общих играбельных слов 14; пулы 21 и 20
birds,flying_animals,do_not_pair,derived,13,crow | duck | eagle | falcon | goose | hawk | owl | pelican | pigeon | robin | seagull | sparrow | swan,P0,общих играбельных слов 13; пулы 38 и 26
footwear,shoe_styles,do_not_pair,derived,13,boot | clog | flat | heel | loafer | moccasin | oxford | pump | sandal | slipper | sneaker | stiletto | wedge,P0,общих играбельных слов 13; пулы 24 и 15
fruit_trees,fruits,do_not_pair,derived,13,apple | apricot | banana | cherry | fig | grape | lemon | lime | mango | orange | peach | pear | plum,P0,общих играбельных слов 13; пулы 19 и 35
hobbies,hobby_verbs,do_not_pair,derived,13,birdwatching | collecting | dancing | drawing | fishing | gardening | hiking | knitting | painting | photography | reading | sewing | woodworking,P0,общих играбельных слов 13; пулы 21 и 20
ocean_animals,sea_creatures,do_not_pair,derived,13,clam | coral | crab | dolphin | jellyfish | lobster | octopus | oyster | seahorse | squid | starfish | stingray | whale,P0,общих играбельных слов 13; пулы 25 и 15
spices,spices_and_herbs,do_not_pair,derived,13,basil | cardamom | cinnamon | clove | coriander | cumin | nutmeg | oregano | paprika | pepper | saffron | thyme | turmeric,P0,общих играбельных слов 13; пулы 15 и 25
baking_ingredients,pie_ingredients,do_not_pair,derived,12,butter | chocolate | cinnamon | cream | egg | flour | molasses | raisin | salt | shortening | sugar | vanilla,P0,общих играбельных слов 12; пулы 25 и 25
bathroom_items,hygiene,do_not_pair,derived,12,brush | comb | floss | lotion | razor | shampoo | shower | soap | tissue | toothbrush | toothpaste | towel,P0,общих играбельных слов 12; пулы 25 и 19
clothing,clothing_items,do_not_pair,derived,12,blazer | boots | cardigan | dress | gloves | hat | jacket | pants | scarf | shirt | shorts | vest,P0,общих играбельных слов 12; пулы 19 и 28
farm_animals,livestock,do_not_pair,derived,12,chicken | cow | donkey | duck | goat | horse | mule | ox | pig | rabbit | sheep | turkey,P0,общих играбельных слов 12; пулы 20 и 17
fish_species,seafood,do_not_pair,derived,12,anchovy | catfish | cod | halibut | herring | salmon | sardine | snapper | swordfish | tilapia | trout | tuna,P0,общих играбельных слов 12; пулы 25 и 27
instruments,musical_instruments,do_not_pair,derived,12,banjo | bassoon | cello | clarinet | drum | flute | guitar | harp | oboe | piano | tuba | violin,P0,общих играбельных слов 12; пулы 15 и 30
languages,nationalities,do_not_pair,derived,12,chinese | dutch | french | german | greek | italian | japanese | korean | polish | russian | spanish | swedish,P0,общих играбельных слов 12; пулы 21 и 20
salad_ingredients,vegetables,do_not_pair,derived,12,beet | cabbage | carrot | celery | corn | cucumber | lettuce | onion | pepper | radish | spinach | tomato,P0,общих играбельных слов 12; пулы 25 и 33
school_jobs,school_people,do_not_pair,derived,12,aide | bus driver | coach | counselor | crossing guard | janitor | librarian | nurse | principal | substitute | teacher | tutor,P0,общих играбельных слов 12; пулы 18 и 16
bread_types,sandwich_breads,do_not_pair,derived,11,bagel | ciabatta | croissant | focaccia | pita | roll | rye | sourdough | texas toast | wheat | white,P0,общих играбельных слов 11; пулы 25 и 14
bread_types,world_breads,do_not_pair,derived,11,baguette | brioche | challah | ciabatta | focaccia | naan | pita | pumpernickel | rye | sourdough | tortilla,P0,общих играбельных слов 11; пулы 25 и 16
chemistry,chemistry_words,do_not_pair,derived,11,acid | atom | base | compound | element | formula | isotope | molecule | reaction | solution | valence,P0,общих играбельных слов 11; пулы 16 и 16
cleaning_supplies,cleaning_tools,do_not_pair,derived,11,broom | brush | bucket | duster | dustpan | mop | rag | scrubber | sponge | squeegee | vacuum,P0,общих играбельных слов 11; пулы 20 и 17
clothing_items,things_you_button,do_not_pair,derived,11,blouse | cardigan | coat | glove | jacket | jeans | overalls | pants | shirt | sweater | vest,P0,общих играбельных слов 11; пулы 28 и 14
fabric,fabric_types,do_not_pair,derived,11,burlap | canvas | chiffon | cotton | denim | lace | linen | silk | taffeta | velvet | wool,P0,общих играбельных слов 11; пулы 18 и 21
fishing_hobby,fishing_things,do_not_pair,derived,11,bait | boat | cooler | hook | line | lure | net | reel | rod | tackle box | waders,P0,общих играбельных слов 11; пулы 16 и 18
fruit,fruits,do_not_pair,derived,11,apricot | fig | kiwi | lemon | lychee | mango | peach | pear | pineapple | plum | quince,P0,общих играбельных слов 11; пулы 19 и 35
fruits,things_with_seeds,do_not_pair,derived,11,apple | cherry | fig | grape | kiwi | orange | peach | pear | plum | strawberry | watermelon,P0,общих играбельных слов 11; пулы 35 и 25
herbs,spices_and_herbs,do_not_pair,derived,11,basil | chive | cilantro | dill | mint | oregano | parsley | rosemary | sage | tarragon | thyme,P0,общих играбельных слов 11; пулы 17 и 25
meteorology,weather,do_not_pair,derived,11,blizzard | cyclone | forecast | humidity | monsoon | rain | snow | squall | storms | temperature | wind,P0,общих играбельных слов 11; пулы 18 и 36
olympic_sports,sports,do_not_pair,derived,11,archery | boxing | cricket | fencing | judo | luge | polo | surfing | swimming | tennis | track,P0,общих играбельных слов 11; пулы 34 и 22
rivers,world_rivers,do_not_pair,derived,11,amazon | congo | danube | euphrates | ganges | nile | rhine | seine | thames | volga | yangtze,P0,общих играбельных слов 11; пулы 18 и 16
wedding,wedding_things,do_not_pair,derived,11,best man | bouquet | bride | cake | ceremony | dress | honeymoon | invitation | reception | veil | vows,P0,общих играбельных слов 11; пулы 21 и 20
zodiac,zodiac_signs,do_not_pair,derived,11,aquarius | aries | cancer | capricorn | gemini | leo | libra | pisces | scorpio | taurus | virgo,P0,общих играбельных слов 11; пулы 16 и 12
astronomy,space_objects,do_not_pair,derived,10,comet | constellation | galaxy | meteor | moon | nebula | planet | pulsar | quasar | sun,P0,общих играбельных слов 10; пулы 26 и 20
calendar_words,time_units,do_not_pair,derived,10,century | day | decade | era | millennium | month | quarter | semester | week | year,P0,общих играбельных слов 10; пулы 22 и 16
