word,normalized,familiarity,sense_key,sense_definition,category_key,relation_type,status,semantic_status,gameplay_difficulty,fit,obviousness,risk_flags,reason
molt,molt,0.339,,,animal_actions,does_action,alternative,unreviewed,0.353,0.97,0.75,"[""obscure""]",Molt is an action typical of animals
burrow,burrow,0.443,,,animal_actions,does_action,approved,unreviewed,0.323,0.97,0.75,,Burrow is an action typical of animals
forage,forage,0.446,,,animal_actions,does_action,approved,unreviewed,0.323,0.97,0.75,,Forage is an action typical of animals
graze,graze,0.431,,,animal_actions,does_action,approved,unreviewed,0.327,0.97,0.75,,Graze is an action typical of animals
hatch,hatch,0.546,,,animal_actions,does_action,approved,unreviewed,0.294,0.97,0.75,,Hatch is an action typical of animals
hibernate,hibernate,0.386,,,animal_actions,does_action,approved,unreviewed,0.34,0.97,0.75,,Hibernate is an action typical of animals
hunt,hunt,0.641,,,animal_actions,does_action,approved,unreviewed,0.267,0.97,0.75,,Hunt is an action typical of animals
migrate,migrate,0.49,,,animal_actions,does_action,approved,unreviewed,0.31,0.97,0.75,,Migrate is an action typical of animals
nest,nest,0.581,,,animal_actions,does_action,approved,unreviewed,0.284,0.97,0.75,,Nest is an action typical of animals
perch,perch,0.47,,,animal_actions,does_action,approved,unreviewed,0.316,0.97,0.75,,Perch is an action typical of animals
pounce,pounce,0.424,,,animal_actions,does_action,approved,unreviewed,0.329,0.97,0.75,,Pounce is an action typical of animals
prowl,prowl,0.393,,,animal_actions,does_action,approved,unreviewed,0.338,0.97,0.75,,Prowl is an action typical of animals
roost,roost,0.429,,,animal_actions,does_action,approved,unreviewed,0.327,0.97,0.75,,Roost is an action typical of animals
shed,shed,0.604,,,animal_actions,does_action,approved,unreviewed,0.277,0.97,0.75,,Shed is an action typical of animals
slither,slither,0.361,,,animal_actions,does_action,approved,unreviewed,0.347,0.97,0.75,,Slither is an action typical of animals
spawn,spawn,0.483,,,animal_actions,does_action,approved,unreviewed,0.312,0.97,0.75,,Spawn is an action typical of animals
caulk,caulk,0.327,,,building_actions,does_action,alternative,unreviewed,0.323,0.97,0.78,"[""obscure""]",To caulk is done when building or repairing
assemble,assemble,0.52,,,building_actions,does_action,approved,unreviewed,0.267,0.97,0.78,,To assemble is done when building or repairing
bolt,bolt,0.577,,,building_actions,does_action,approved,unreviewed,0.251,0.97,0.78,,To bolt is done when building or repairing
drill,drill,0.584,drill_tool,A tool that bores holes by spinning a bit,building_actions,does_action,approved,unreviewed,0.249,0.97,0.78,,To drill is done when building or repairing
glue,glue,0.543,,,building_actions,does_action,approved,unreviewed,0.261,0.97,0.78,,To glue is done when building or repairing
hammer,hammer,0.594,,,building_actions,does_action,approved,unreviewed,0.246,0.97,0.78,,To hammer is done when building or repairing
install,install,0.591,,,building_actions,does_action,approved,unreviewed,0.247,0.97,0.78,,To install is done when building or repairing
level,level,0.773,,,building_actions,does_action,approved,unreviewed,0.216,0.97,0.78,,To level is done when building or repairing
measure,measure,0.664,,,building_actions,does_action,approved,unreviewed,0.226,0.97,0.78,,To measure is done when building or repairing
mount,mount,0.639,,,building_actions,does_action,approved,unreviewed,0.233,0.97,0.78,,To mount is done when building or repairing
nail,nail,0.601,nail_metal,A thin pointed metal pin hammered into wood,building_actions,does_action,approved,unreviewed,0.244,0.97,0.78,,To nail is done when building or repairing
paint,paint,0.646,,,building_actions,does_action,approved,unreviewed,0.231,0.97,0.78,,To paint is done when building or repairing
plaster,plaster,0.504,,,building_actions,does_action,approved,unreviewed,0.272,0.97,0.78,,To plaster is done when building or repairing
sand,sand,0.634,,,building_actions,does_action,approved,unreviewed,0.235,0.97,0.78,,To sand is done when building or repairing
saw,saw,0.763,,,building_actions,does_action,approved,unreviewed,0.216,0.97,0.78,,To saw is done when building or repairing
screw,screw,0.607,,,building_actions,does_action,approved,unreviewed,0.243,0.97,0.78,,To screw is done when building or repairing
tile,tile,0.531,,,building_actions,does_action,approved,unreviewed,0.264,0.97,0.78,,To tile is done when building or repairing
weld,weld,0.476,,,building_actions,does_action,approved,unreviewed,0.28,0.97,0.78,,To weld is done when building or repairing
carry,carry,0.699,,,carrying_actions,does_action,approved,unreviewed,0.259,0.97,0.72,,To carry is a way of moving an object
drag,drag,0.613,,,carrying_actions,does_action,approved,unreviewed,0.284,0.97,0.72,,To drag is a way of moving an object
haul,haul,0.554,,,carrying_actions,does_action,approved,unreviewed,0.301,0.97,0.72,,To haul is a way of moving an object
heave,heave,0.414,,,carrying_actions,does_action,approved,unreviewed,0.341,0.97,0.72,,To heave is a way of moving an object
hoist,hoist,0.446,,,carrying_actions,does_action,approved,unreviewed,0.332,0.97,0.72,,To hoist is a way of moving an object
lift,lift,0.643,,,carrying_actions,does_action,approved,unreviewed,0.275,0.97,0.72,,To lift is a way of moving an object
load,load,0.654,,,carrying_actions,does_action,approved,unreviewed,0.272,0.97,0.72,,To load is a way of moving an object
pull,pull,0.689,,,carrying_actions,does_action,approved,unreviewed,0.262,0.97,0.72,,To pull is a way of moving an object
push,push,0.689,,,carrying_actions,does_action,approved,unreviewed,0.262,0.97,0.72,,To push is a way of moving an object
shove,shove,0.523,,,carrying_actions,does_action,approved,unreviewed,0.31,0.97,0.72,,To shove is a way of moving an object
slide,slide,0.614,,,carrying_actions,does_action,approved,unreviewed,0.284,0.97,0.72,,To slide is a way of moving an object
toss,toss,0.559,,,carrying_actions,does_action,approved,unreviewed,0.299,0.97,0.72,,To toss is a way of moving an object
tow,tow,0.531,,,carrying_actions,does_action,approved,unreviewed,0.307,0.97,0.72,,To tow is a way of moving an object
transport,transport,0.669,,,carrying_actions,does_action,approved,unreviewed,0.268,0.97,0.72,,To transport is a way of moving an object
roll,roll,0.679,roll_turn,To turn over and over,carrying_actions,does_action,hard_only,unreviewed,0.265,0.97,0.72,,To roll is a way of moving an object
declutter,declutter,0.319,,,cleaning_actions,does_action,alternative,unreviewed,0.319,0.97,0.8,"[""obscure""]",To declutter is done when cleaning
disinfect,disinfect,0.364,,,cleaning_actions,does_action,approved,unreviewed,0.306,0.97,0.8,,To disinfect is done when cleaning
dry,dry,0.677,,,cleaning_actions,does_action,approved,unreviewed,0.217,0.97,0.8,,To dry is done when cleaning
dust,dust,0.63,,,cleaning_actions,does_action,approved,unreviewed,0.23,0.97,0.8,,To dust is done when cleaning
launder,launder,0.391,,,cleaning_actions,does_action,approved,unreviewed,0.298,0.97,0.8,,To launder is done when cleaning
mop,mop,0.484,,,cleaning_actions,does_action,approved,unreviewed,0.272,0.97,0.8,,To mop is done when cleaning
polish,polish,0.613,polish_verb,To rub a surface until it shines,cleaning_actions,does_action,approved,unreviewed,0.235,0.97,0.8,,To polish is done when cleaning
