category_a_id,category_a_key,category_a,pool_a,category_b_id,category_b_key,category_b,pool_b,overlap_count,overlap_words,overlap_share_a,overlap_share_b,severity,recommended_action
288,jewelry_stones,JEWELRY STONES,15,670,gemstones,GEMSTONES,20,15,amethyst | aquamarine | diamond | emerald | garnet | jade | moonstone | onyx | opal | pearl | peridot | ruby | sapphire | topaz | turquoise,1.0,0.75,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
27,birds,BIRDS,26,31,flying_animals,FLYING ANIMALS,26,13,crow | duck | eagle | falcon | goose | hawk | owl | pelican | pigeon | robin | seagull | sparrow | swan,0.5,0.5,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
162,fabrics,FABRICS,20,572,fabric_types,FABRIC TYPES,20,13,canvas | chiffon | corduroy | cotton | denim | flannel | lace | linen | satin | silk | tweed | velvet | wool,0.65,0.65,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
157,footwear,FOOTWEAR,20,285,shoe_styles,SHOE STYLES,15,13,boot | clog | flat | heel | loafer | moccasin | oxford | pump | sandal | slipper | sneaker | stiletto | wedge,0.65,0.8667,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
212,school_supplies,SCHOOL SUPPLIES,25,991,office_supplies,OFFICE SUPPLIES,25,13,binder | calculator | eraser | folder | highlighter | marker | pen | pencil | planner | ruler | scissors | stapler | tape,0.52,0.52,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
227,art_class_things,ART CLASS,18,1002,art_supplies,ART SUPPLIES,20,12,brush | canvas | chalk | clay | glitter | glue | marker | paint | pastel | scissors | sketchbook | stencil,0.6667,0.6,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
26,farm_animals,FARM ANIMALS,20,269,livestock,LIVESTOCK,17,12,chicken | cow | donkey | duck | goat | horse | mule | ox | pig | rabbit | sheep | turkey,0.6,0.7059,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
535,languages,LANGUAGES,20,747,nationalities,NATIONALITIES,20,12,Chinese | Dutch | French | German | greek | Italian | Japanese | Korean | polish | Russian | spanish | Swedish,0.6,0.6,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
299,pie_ingredients,PIE INGREDIENTS,25,300,baking_ingredients,BAKING INGREDIENTS,25,12,butter | chocolate | cinnamon | cream | egg | flour | molasses | raisin | salt | shortening | sugar | vanilla,0.48,0.48,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
230,school_people,SCHOOL PEOPLE,16,456,school_jobs,SCHOOL JOBS,18,12,aide | bus driver | coach | counselor | crossing guard | janitor | librarian | nurse | principal | substitute | teacher | tutor,0.75,0.6667,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
312,seafood,SEAFOOD,25,709,fish_species,FISH,25,12,anchovy | catfish | cod | halibut | herring | salmon | sardine | snapper | swordfish | tilapia | trout | tuna,0.48,0.48,P0,Create an explicit do-not-pair/conflict rule or curate quartets with a uniqueness solver.
