word,normalized,sense_count,available_senses,category_key,category,category_rule,relation_type,review_status,fit_score,obviousness_score,reason,recommended_action
apple,apple,2,apple_company | apple_fruit,fairy_tale_things,TALE OBJECTS,Objects that appear in classic fairy tales,found_in,alternative,0.97,0.85,Apple appears in classic fairy tales,Assign an existing sense or add the missing sense before this membership is used.
apple,apple,2,apple_company | apple_fruit,fruit_trees,FRUIT TREES,Trees grown for their edible fruit,is_a,approved,0.97,0.78,Apple is a tree grown for its fruit,Assign an existing sense or add the missing sense before this membership is used.
apple,apple,2,apple_company | apple_fruit,pie_types,PIE TYPES,Kinds of pie,is_a,approved,0.97,0.8,Apple is a kind of pie,Assign an existing sense or add the missing sense before this membership is used.
apple,apple,2,apple_company | apple_fruit,trees,TREES,Kinds of trees an average American can name,is_a,alternative,0.97,0.85,Apple is a kind of tree,Assign an existing sense or add the missing sense before this membership is used.
bank,bank,2,bank_finance | bank_river,places_you_wait,WAITING PLACES,Places where people commonly stand in line,found_in,hard_only,0.97,0.7,Bank is a place where people wait in line,Assign an existing sense or add the missing sense before this membership is used.
bank,bank,2,bank_finance | bank_river,words_after_snow,SNOW ___,Words that form a familiar English compound when placed after the word snow,phrase_after,hard_only,0.97,0.65,"bank forms the familiar compound ""snow bank""",Assign an existing sense or add the missing sense before this membership is used.
bark,bark,2,bark_sound | bark_tree,pine_and_cones,CONIFER WORDS,Words about pine trees and their cones,found_in,alternative,0.97,0.55,Bark has to do with pine trees,Assign an existing sense or add the missing sense before this membership is used.
bark,bark,2,bark_sound | bark_tree,plant_parts,PLANT PARTS,Parts of a growing plant,part_of,alternative,0.97,0.85,Bark is a part of a growing plant,Assign an existing sense or add the missing sense before this membership is used.
bark,bark,2,bark_sound | bark_tree,things_in_the_forest,FOREST THINGS,Things you find walking through a forest,found_in,approved,0.97,0.8,Bark is found in a forest,Assign an existing sense or add the missing sense before this membership is used.
bat,bat,2,bat_animal | bat_equipment,black_things,BLACK THINGS,Everyday things that are typically black in color,has_property,alternative,0.97,0.7,Bat is typically black in color,Assign an existing sense or add the missing sense before this membership is used.
bat,bat,2,bat_animal | bat_equipment,cave_things,CAVE THINGS,Things found inside a cave,found_in,alternative,0.97,0.7,Bat is found inside a cave,Assign an existing sense or add the missing sense before this membership is used.
bat,bat,2,bat_animal | bat_equipment,halloween_things,HALLOWEEN THINGS,Things associated with Halloween,found_in,alternative,0.97,0.9,Bat is associated with Halloween,Assign an existing sense or add the missing sense before this membership is used.
bat,bat,2,bat_animal | bat_equipment,things_made_of_wood,WOODEN THINGS,Everyday things normally made of wood,made_of,alternative,0.97,0.78,Bat is normally made of wood,Assign an existing sense or add the missing sense before this membership is used.
club,club,2,club_card | club_stick,juggling_words,JUGGLING WORDS,Words used in juggling,found_in,alternative,0.97,0.55,Club is used in juggling,Assign an existing sense or add the missing sense before this membership is used.
club,club,2,club_card | club_stick,sandwich_types,SANDWICH TYPES,Named kinds of sandwich,is_a,alternative,0.97,0.8,Club is a named kind of sandwich,Assign an existing sense or add the missing sense before this membership is used.
club,club,2,club_card | club_stick,weapons_of_the_past,OLD WEAPONS,Weapons used before modern firearms,is_a,approved,0.97,0.8,Club is a weapon used before modern firearms,Assign an existing sense or add the missing sense before this membership is used.
club,club,2,club_card | club_stick,words_after_book,WORDS AFTER BOOK,Words that form a familiar English compound when placed after the word book,phrase_after,hard_only,0.97,0.6,"club forms the familiar compound ""book club""",Assign an existing sense or add the missing sense before this membership is used.
club,club,2,club_card | club_stick,words_before_house,___ HOUSE,Words that form a familiar English compound when placed before the word house,phrase_before,alternative,0.97,0.6,"club forms the familiar compound ""club house""",Assign an existing sense or add the missing sense before this membership is used.
crane,crane,2,crane_bird | crane_machine,harbor_things,HARBOR THINGS,Things found in a harbor or marina,found_in,alternative,0.97,0.78,Crane is found in a harbor,Assign an existing sense or add the missing sense before this membership is used.
