priority,word,normalized,is_proper_noun,familiarity,category_count,theme_count,themes,categories,decision,note
P0,gloves,gloves,0,0.577,11,10,clothing | farming | fashion | hobbies | home | medicine | misc | ocean | tools | trades,accessories | beekeeping | cleaning_supplies | cleaning_trade | diving_gear | fashion_accessories | first_aid | garden_tools | gardening_hobby | safety_gear | things_that_come_in_pairs,,
P0,compass,compass,0,0.534,11,9,education | geography | history | hobbies | law | ocean | science | technology | tools,camping_gear | diving_gear | exploration_words | inventions | map_words | measurement_devices | measuring_tools | military_things | navigation_tools | pirate_words | school_supplies,,
P0,candle,candle,0,0.554,10,9,art | entertainment | food | home | language | nature | properties | religion | time,birthday_things | church_things | decorative_things | hot_things | light_sources | lighting | party_things | things_that_melt | things_that_shrink | words_before_light,,
P0,camera,camera,0,0.696,12,8,entertainment | fashion | hobbies | home | science | space | technology | transport,astronaut_gear | birdwatching | fashion_show | gadgets | inventions | movie_words | phone_words | photography_hobby | screens | security_tech | things_with_buttons | travel_documents,,
P0,sand,sand,0,0.634,12,8,actions | art | farming | language | materials | nature | ocean | properties,building_actions | desert_things | ocean_products | powders | sculpture_materials | sea_shore_things | soft_things | soil_words | words_before_bag | words_before_box | words_before_paper | words_before_stone,,
P0,coin,coin,0,0.599,11,8,business | entertainment | hobbies | home | materials | misc | properties | tools,coins_and_bills | collecting_hobbies | magic_tricks | magic_words | money_words | round_things | shiny_things | things_in_a_junk_drawer | things_made_of_metal | things_that_have_a_face | things_that_spin,,
P0,thermometer,thermometer,0,0.46,10,8,body | home | lists | materials | medicine | science | technology | tools,first_aid | kitchen_gadgets | kitchen_tools | lab_equipment | measurement_devices | measuring_tools | medical_tools | medicine_cabinet | things_made_of_glass | weather_instruments,,
P0,saddle,saddle,0,0.533,9,8,animals | farming | history | language | materials | sports | sports_world | transport,barn_things | cycling_words | equestrian_words | horse_words | knights_and_armor | parts_of_a_bike | ranch_words | things_made_of_leather | words_before_bag,,
P0,net,net,0,0.68,11,7,education | entertainment | hobbies | language | ocean | properties | sports,circus_words | fishing_hobby | fishing_things | gym_class_things | harbor_things | hockey_words | soccer_words | tennis_words | things_with_holes | whaling_and_fishing | words_before_work,,
P0,salt,salt,0,0.657,11,7,food | materials | mythology | nature | ocean | properties | science,baking_ingredients | chemistry_words | experiments | ocean_products | pantry_staples | pie_ingredients | powders | rocks_and_minerals | soup_ingredients | superstitions | white_things,,
P0,rose,rose,1,0.689,10,7,culture | fashion | names | nature | plants | properties | world_food,flags_and_symbols | flowers | garden_flowers_summer | garden_plants | nature_names | perfume_words | red_things | short_names | shrubs | wines_and_drinks,,
P0,scarf,scarf,0,0.526,10,7,clothing | entertainment | fashion | hobbies | nature_more | skills | sports_world,accessories | clothing_items | fan_things | fashion_accessories | juggling_words | magic_tricks | magic_words | seasons_winter | things_you_tie | winter_clothing,,
P0,coffee,coffee,0,0.694,9,7,food | language | materials | misc | plants | science | transport,experiments | gas_station_things | hot_drinks | ice_cream_flavors | liquids | pantry_staples | tropical_plants | vending_machine_items | words_before_cake,,
P0,ladder,ladder,0,0.576,9,7,farming | home | materials | mythology | places | tools | trades,high_places | orchard_words | painting_supplies | painting_trade | roofing_words | superstitions | things_in_a_garage | things_made_of_metal | things_made_of_wood,,
P0,paint,paint,0,0.646,9,7,actions | education | hobbies | home | materials | species | tools,art_class_things | art_supplies | building_actions | crafting_materials | horse_breeds | liquids | model_building | painting_supplies | things_in_a_garage,,
