category_id,category_key,label,theme,rule,relation_type,base_difficulty,total_links,approved_count,alternative_count,hard_only_count,rejected_count,playable_count,normal_pool_count,hard_share_playable,recommended_tier,severity,flags
161,accessories,ACCESSORIES,clothing,Small items worn or carried to complete an outfit,is_a,0.3,18,5,12,1,0,18,17,0.0556,normal_pool_available,,
445,accounting_words,ACCOUNTING WORDS,jargon,Words used in bookkeeping and accounting,found_in,0.45,14,0,10,4,0,14,10,0.2857,usable_with_constraints,P2,NO_APPROVED_WORDS
997,adhesives,GLUES AND TAPES,tools,Sticky products used to join things,used_in,0.35,15,11,3,1,0,15,14,0.0667,normal_pool_available,,
137,advertising_words,ADVERTISING WORDS,business,Words used in advertising and marketing,found_in,0.35,16,13,3,0,0,16,16,0.0,normal_pool_available,,
36,african_animals,AFRICAN ANIMALS,animals,Wild animals associated with the African savanna,found_in,0.2,20,14,4,2,0,20,18,0.1,normal_pool_available,,
146,african_cities,AFRICAN CITIES,cities,Well known cities in Africa,is_a,0.4,16,14,1,1,0,16,15,0.0625,normal_pool_available,,
353,african_countries,AFRICAN COUNTRIES,geography,Countries located in Africa,is_a,0.35,20,17,3,0,0,20,20,0.0,normal_pool_available,,
198,age_words,AGE WORDS,descriptive,Words describing how old something is,is_a,0.35,14,12,1,1,0,14,13,0.0714,normal_pool_available,,
1035,aircraft,AIRCRAFT,transport,Machines that fly through the air carrying people or cargo,is_a,0.25,15,11,3,1,0,15,14,0.0667,normal_pool_available,,
113,airlines,AIRLINES,brands,Major passenger airlines,is_a,0.35,14,7,7,0,0,14,14,0.0,normal_pool_available,,
1032,airport_words,AIRPORT WORDS,transport,"Words for things, places or roles you encounter at an airport",found_in,0.25,25,20,4,1,0,25,24,0.04,normal_pool_available,,
155,airports_and_ports,TRANSPORT HUBS,cities,Famous airports and transport hubs,is_a,0.45,12,9,0,2,1,11,9,0.1818,usable_with_constraints,P2,THIN_LT_12_PLAYABLE
226,alphabet_and_numbers,FIRST LESSONS,education,The very first things children learn at school,is_a,0.3,15,3,12,0,0,15,15,0.0,usable_with_constraints,P2,FEWER_THAN_4_APPROVED
534,alphabet_code,RADIO ALPHABET,language,Code words used to spell letters over a radio,is_a,0.4,24,0,4,20,0,24,4,0.8333,hard_only_or_manual_review,P1,NO_APPROVED_WORDS | MAJORITY_HARD_ONLY
148,american_east_cities,EAST COAST,cities,Cities on the American East Coast,is_a,0.3,15,10,5,0,0,15,15,0.0,normal_pool_available,,
634,american_legends,FOLK HEROES,mythology,Legendary figures from American folklore,is_a,0.4,9,8,0,1,0,9,8,0.1111,usable_with_constraints,P2,THIN_LT_12_PLAYABLE
149,american_west_cities,WEST COAST,cities,Cities on the American West Coast,is_a,0.3,14,13,1,0,0,14,14,0.0,normal_pool_available,,
39,amphibians_and_bugs,AMPHIBIANS,animals,Animals that live both in water and on land as amphibians,is_a,0.35,10,0,6,1,3,7,6,0.1429,hard_only_or_manual_review,P1,NO_APPROVED_WORDS | THIN_LT_12_PLAYABLE
245,amusement_park,AMUSEMENT PARK,entertainment,Rides and things found at an amusement park,found_in,0.25,18,11,4,3,0,18,15,0.1667,normal_pool_available,,
374,ancient_civilizations,ANCIENT CIVILIZATIONS,history,Civilizations of the ancient world,is_a,0.3,15,9,4,2,0,15,13,0.1333,normal_pool_available,,
391,ancient_wonders,WORLD WONDERS,history,Structures known as wonders of the world,is_a,0.4,11,7,2,2,0,11,9,0.1818,usable_with_constraints,P2,THIN_LT_12_PLAYABLE
20,animal_actions,ANIMAL ACTIONS,actions,Actions typical of animals rather than people,does_action,0.35,16,9,6,1,0,16,15,0.0625,normal_pool_available,,
32,animal_babies,BABY ANIMALS,animals,English words for the young of an animal species,is_a,0.25,20,9,10,1,0,20,19,0.05,normal_pool_available,,
47,animal_body_parts,ANIMAL PARTS,animals,Body parts that animals have but people do not,part_of,0.25,20,12,8,0,0,20,20,0.0,normal_pool_available,,
46,animal_coverings,ANIMAL COVERINGS,animals,Things that cover an animal body,part_of,0.35,15,5,10,0,0,15,15,0.0,normal_pool_available,,
45,animal_groups,ANIMAL GROUPS,animals,Collective nouns for groups of animals,is_a,0.4,15,0,10,5,0,15,10,0.3333,usable_with_constraints,P2,NO_APPROVED_WORDS
44,animal_homes,ANIMAL HOMES,animals,Words for the places animals live in,is_a,0.3,20,6,14,0,0,20,20,0.0,normal_pool_available,,
68,animal_names_male_female,ANIMAL GENDERS,animals_more,Words for the male or female of an animal species,is_a,0.4,18,9,9,0,0,18,18,0.0,normal_pool_available,,
33,animal_sounds,ANIMAL SOUNDS,animals,English words for the sound an animal makes,does_action,0.3,26,13,10,3,0,26,23,0.1154,normal_pool_available,,
685,animal_tracks_and_signs,DIRT THINGS,nature,Marks and things you see in bare dirt,found_in,0.4,15,0,14,1,0,15,14,0.0667,usable_with_constraints,P2,NO_APPROVED_WORDS
55,animal_verbs,ANIMAL MOVEMENTS,animals,Verbs for the way particular animals move,does_action,0.4,18,0,15,3,0,18,15,0.1667,usable_with_constraints,P2,NO_APPROVED_WORDS
54,animals_with_shells,ANIMALS WITH SHELLS,animals,Animals whose body is protected by a hard shell,has_property,0.35,15,0,11,4,0,15,11,0.2667,usable_with_constraints,P2,NO_APPROVED_WORDS
57,antelope_and_grazers,GRAZING ANIMALS,animals_more,Animals that graze on grass in herds,is_a,0.4,14,11,1,2,0,14,12,0.1429,normal_pool_available,,
1049,apple_varieties,APPLE VARIETIES,varieties,Varieties of apple sold in stores,is_a,0.35,14,10,2,2,0,14,12,0.1429,normal_pool_available,,
115,appliance_brands,APPLIANCE BRANDS,brands,Brands of home appliance,is_a,0.4,13,6,2,5,0,13,8,0.3846,normal_pool_available,,
388,archaeology_words,ARCHAEOLOGY WORDS,history,Things involved in digging up the past,found_in,0.4,15,0,9,6,0,15,9,0.4,usable_with_constraints,P2,NO_APPROVED_WORDS
948,archery_words,ARCHERY WORDS,sports_world,Words used in archery,found_in,0.4,14,7,5,2,0,14,12,0.1429,normal_pool_available,,
446,architecture_words,ARCHITECTURE WORDS,jargon,Words used to describe buildings and their design,found_in,0.4,16,13,3,0,0,16,16,0.0,normal_pool_available,,
