word_id,word,normalized,is_proper_noun,part_of_speech,familiarity_score,playable_category_count,theme_count,categories,recommended_action
1407,mirror,mirror,0,noun,0.639,17,12,dentist_things:DENTIST THINGS | magic_words:MAGIC SHOW | beauty_tools:BEAUTY TOOLS | dance_class:DANCE CLASS | magic_tricks:MAGIC PROPS | bathroom_items:BATHROOM ITEMS | bedroom_things:BEDROOM THINGS | things_on_a_wall:WALL THINGS | things_made_of_glass:GLASS THINGS | things_in_a_purse:PURSE THINGS | magic_objects:MAGIC OBJECTS | superstitions:SUPERSTITION THINGS | shiny_things:SHINY THINGS | things_that_break:FRAGILE THINGS | telescope_words:TELESCOPE WORDS | barbershop_words:BARBERSHOP WORDS | car_parts:CAR PARTS,Candidate for sense decomposition; review category uses and add sense-specific display/casing.
1343,whistle,whistle,0,noun,0.554,16,12,body_sounds:BODY SOUNDS | gym_class_things:GYM CLASS | wind_instruments:WIND INSTRUMENTS | birdwatching:BIRDWATCHING THINGS | police_things:POLICE THINGS | things_on_a_keychain:KEYCHAIN THINGS | loud_things:LOUD THINGS | things_with_holes:THINGS WITH HOLES | nature_sounds:NATURE SOUNDS | city_sounds:CITY SOUNDS | voice_sounds:VOICE SOUNDS | bell_and_alarm:ALARM SOUNDS | soccer_words:SOCCER WORDS | fan_things:FAN THINGS | factory_words:FACTORY WORDS | train_words:TRAIN WORDS,Candidate for sense decomposition; review category uses and add sense-specific display/casing.
1207,ice,ice,0,noun,0.714,16,8,sculpture_materials:SCULPTURE MATERIALS | things_that_melt:MELTING THINGS | drink_mixers:DRINK MIXERS | words_before_box:___ BOX | words_before_man:___ MAN | words_before_bag:___ BAG | water_states:FORMS OF WATER | cold_things:COLD THINGS | hard_things:HARD THINGS | shiny_things:SHINY THINGS | transparent_things:CLEAR THINGS | things_that_float:FLOATING THINGS | things_that_break:FRAGILE THINGS | things_that_shrink:SHRINKING THINGS | states_of_matter:STATES OF MATTER | first_aid_actions:AID ACTIONS,Candidate for sense decomposition; review category uses and add sense-specific display/casing.
1049,brush,brush,0,noun,0.604,15,8,art_tools:ART TOOLS | writing_tools:WRITING TOOLS | art_class_things:ART CLASS | beauty_tools:BEAUTY TOOLS | wardrobe_care:WARDROBE CARE | model_building:MODEL KITS | bathroom_items:BATHROOM ITEMS | cleaning_supplies:CLEANING SUPPLIES | pet_supplies:PET SUPPLIES | words_after_air:AIR ___ | painting_supplies:PAINTING SUPPLIES | art_supplies:ART SUPPLIES | cleaning_tools:CLEANING TOOLS | painting_trade:HOUSE PAINTING | barbershop_words:BARBERSHOP WORDS,Candidate for sense decomposition; review category uses and add sense-specific display/casing.
2231,helmet,helmet,0,noun,0.574,14,9,hats:HATS | knights_and_armor:KNIGHT THINGS | military_things:MILITARY EQUIPMENT | things_made_of_plastic:PLASTIC THINGS | astronaut_gear:ASTRONAUT GEAR | baseball_equipment:BASEBALL EQUIPMENT | football_words:FOOTBALL WORDS | hockey_words:HOCKEY WORDS | sports_gear_worn:PROTECTIVE GEAR | cycling_words:CYCLING WORDS | racing_words:MOTOR RACING | skateboarding:SKATEBOARDING WORDS | safety_gear:SAFETY GEAR | welding_words:WELDING WORDS,Candidate for sense decomposition; review category uses and add sense-specific display/casing.
2885,bell,bell,1,noun,0.656,13,10,classroom_things:CLASSROOM THINGS | music_class_things:MUSIC CLASS | things_made_of_metal:METAL THINGS | things_that_ring:RINGING THINGS | inventors:INVENTORS | loud_things:LOUD THINGS | church_things:CHURCH THINGS | monastery_life:MONASTERY THINGS | city_sounds:CITY SOUNDS | bell_and_alarm:ALARM SOUNDS | boxing_words:BOXING WORDS | parts_of_a_bike:BICYCLE PARTS | pepper_varieties:PEPPER VARIETIES,Candidate for sense decomposition; review category uses and add sense-specific display/casing.
344,glue,glue,0,noun,0.543,13,8,building_actions:BUILDING ACTIONS | joining_actions:JOINING ACTIONS | school_supplies:SCHOOL SUPPLIES | art_class_things:ART CLASS | model_building:MODEL KITS | crafting_materials:CRAFT MATERIALS | sewing_and_repair:HOME REPAIR | things_in_a_junk_drawer:JUNK DRAWER | liquids:LIQUIDS | things_in_a_toolbox:TOOLBOX THINGS | sticky_things:STICKY THINGS | adhesives:GLUES AND TAPES | art_supplies:ART SUPPLIES,Candidate for sense decomposition; review category uses and add sense-specific display/casing.
3414,cheese,cheese,0,noun,0.653,13,6,dairy_words:DAIRY FARM | farm_products:FARM PRODUCTS | pizza_toppings:PIZZA TOPPINGS | sandwich_fillings:SANDWICH FILLINGS | salad_ingredients:SALAD INGREDIENTS | dairy_products:DAIRY PRODUCTS | things_that_melt:MELTING THINGS | toppings_and_garnish:GARNISHES | words_before_sauce:___ SAUCE | words_before_cake:___ CAKE | yellow_things:YELLOW THINGS | smelly_things:SMELLY THINGS | fermented_foods:PICKLED FOODS,Candidate for sense decomposition; review category uses and add sense-specific display/casing.
480,snow,snow,0,noun,0.666,13,6,weather_actions:WEATHER ACTIONS | things_that_melt:MELTING THINGS | words_before_ball:___ BALL | words_before_man:___ MAN | words_before_board:___ BOARD | words_before_bird:___ BIRD | weather_words:WEATHER WORDS | water_states:FORMS OF WATER | mountain_things:MOUNTAIN THINGS | seasons_winter:WINTER THINGS | white_things:WHITE THINGS | cold_things:COLD THINGS | quiet_things:QUIET THINGS,Candidate for sense decomposition; review category uses and add sense-specific display/casing.
2883,map,map,0,noun,0.68,12,9,classroom_things:CLASSROOM THINGS | reading_material:READING MATTER | national_parks:PARK WORDS | pirate_words:PIRATE WORDS | exploration_words:AGE OF EXPLORATION | camping_gear:CAMPING GEAR | hiking_words:HIKING WORDS | things_made_of_paper:PAPER THINGS | things_in_a_glove_box:GLOVE BOX | navigation_tools:NAVIGATION TOOLS | travel_documents:TRAVEL THINGS | gas_station_things:GAS STATION,Candidate for sense decomposition; review category uses and add sense-specific display/casing.
448,tape,tape,0,noun,0.634,12,9,joining_actions:JOINING ACTIONS | school_supplies:SCHOOL SUPPLIES | sewing_and_repair:HOME REPAIR | things_in_a_junk_drawer:JUNK DRAWER | detective_procedures:FORENSICS WORDS | first_aid:FIRST AID | things_in_a_toolbox:TOOLBOX THINGS | sticky_things:STICKY THINGS | office_supplies:OFFICE SUPPLIES | adhesives:GLUES AND TAPES | painting_supplies:PAINTING SUPPLIES | painting_trade:HOUSE PAINTING,Candidate for sense decomposition; review category uses and add sense-specific display/casing.
4880,battery,battery,0,noun,0.646,12,8,photography_hobby:PHOTOGRAPHY GEAR | things_in_a_junk_drawer:JUNK DRAWER | recycled_materials:RECYCLABLE MATERIALS | things_that_shrink:SHRINKING THINGS | energy_words:ENERGY WORDS | inventions:INVENTIONS | electricity_words:ELECTRICITY WORDS | computer_parts:COMPUTER PARTS | phone_words:PHONE WORDS | power_and_batteries:POWER WORDS | auto_repair:AUTO REPAIR | car_parts:CAR PARTS,Candidate for sense decomposition; review category uses and add sense-specific display/casing.
3191,camera,camera,0,noun,0.696,12,8,movie_words:FILM MAKING | fashion_show:FASHION SHOW | birdwatching:BIRDWATCHING THINGS | photography_hobby:PHOTOGRAPHY GEAR | things_with_buttons:THINGS WITH BUTTONS | inventions:INVENTIONS | astronaut_gear:ASTRONAUT GEAR | phone_words:PHONE WORDS | gadgets:GADGETS | screens:THINGS WITH SCREENS | security_tech:SECURITY DEVICES | travel_documents:TRAVEL THINGS,Candidate for sense decomposition; review category uses and add sense-specific display/casing.
