quartet_key,category_key,tier,review_state,solver_state,difficulty,words,note
accessories__1,accessories,normal,auto_validated,unique,0.232,watch#watch_object | hat | tie#tie_clothing | wallet,четвёрка однозначна: другой категории с этими четырьмя словами нет
accessories__2,accessories,normal,auto_validated,unique,0.25,belt | gloves | purse | umbrella,четвёрка однозначна: другой категории с этими четырьмя словами нет
accessories__3,accessories,normal,auto_validated,unique,0.263,clutch | backpack | sunglasses | scarf,четвёрка однозначна: другой категории с этими четырьмя словами нет
accounting_words__1,accounting_words,normal,auto_validated,unique,0.349,credit | statement | balance | revenue,четвёрка однозначна: другой категории с этими четырьмя словами нет
accounting_words__2,accounting_words,normal,auto_validated,unique,0.375,asset | expense | liability | audit,четвёрка однозначна: другой категории с этими четырьмя словами нет
accounting_words__3,accounting_words,normal,auto_validated,unique,0.394,receipt | payroll | debit | ledger,четвёрка однозначна: другой категории с этими четырьмя словами нет
adhesives__1,adhesives,normal,auto_validated,unique,0.284,tape | cement | gum#gum_glue | paste,четвёрка однозначна: другой категории с этими четырьмя словами нет
adhesives__2,adhesives,normal,auto_validated,unique,0.296,glue | hot glue | super glue | mortar,четвёрка однозначна: другой категории с этими четырьмя словами нет
adhesives__3,adhesives,normal,auto_validated,unique,0.316,duct tape | adhesive | epoxy | masking tape,четвёрка однозначна: другой категории с этими четырьмя словами нет
advertising_words__1,advertising_words,normal,auto_validated,unique,0.261,campaign | commercial | brand#brand_company | ad,четвёрка однозначна: другой категории с этими четырьмя словами нет
advertising_words__2,advertising_words,normal,auto_validated,unique,0.292,logo | banner | sponsor | billboard,четвёрка однозначна: другой категории с этими четырьмя словами нет
advertising_words__3,advertising_words,normal,auto_validated,unique,0.305,coupon | promo | endorsement | slogan,четвёрка однозначна: другой категории с этими четырьмя словами нет
african_animals__1,african_animals,normal,auto_validated,unique,0.181,lion | buffalo | elephant | leopard,четвёрка однозначна: другой категории с этими четырьмя словами нет
african_animals__2,african_animals,normal,auto_validated,unique,0.204,rhino | crocodile | zebra | giraffe,четвёрка однозначна: другой категории с этими четырьмя словами нет
african_animals__3,african_animals,normal,auto_validated,unique,0.216,cheetah | vulture | hippo | antelope,четвёрка однозначна: другой категории с этими четырьмя словами нет
african_cities__1,african_cities,normal,auto_validated,unique,0.338,cape town | cairo | alexandria | lagos,четвёрка однозначна: другой категории с этими четырьмя словами нет
african_cities__2,african_cities,normal,auto_validated,unique,0.361,nairobi | pretoria | durban | casablanca,четвёрка однозначна: другой категории с этими четырьмя словами нет
african_cities__3,african_cities,normal,auto_validated,unique,0.373,accra | tunis | dakar | khartoum,четвёрка однозначна: другой категории с этими четырьмя словами нет
african_countries__1,african_countries,normal,auto_validated,unique,0.278,egypt | nigeria | kenya | chad,четвёрка однозначна: другой категории с этими четырьмя словами нет
african_countries__2,african_countries,normal,auto_validated,unique,0.293,ghana | sudan | libya | morocco,четвёрка однозначна: другой категории с этими четырьмя словами нет
