category_key,label,quartet_id,tier,tiers,position,rank_avg,words
accessories,ACCESSORIES,190,easy,easy,0.000,0.194,watch | belt | purse | gloves
accessories,ACCESSORIES,191,easy,easy,0.050,0.278,hat | belt | umbrella | clutch
accessories,ACCESSORIES,197,easy,easy,0.100,0.278,hat | gloves | backpack | jewelry
accessories,ACCESSORIES,199,easy,easy,0.150,0.292,wallet | scarf | belt | jewelry
accessories,ACCESSORIES,189,easy,easy,0.200,0.306,watch | tie | wallet | hat
accessories,ACCESSORIES,194,easy,easy,0.250,0.319,watch | sunglasses | umbrella | jewelry
accessories,ACCESSORIES,19,easy,"easy,medium",0.300,0.389,tie | hat | belt | purse
accessories,ACCESSORIES,206,easy,"easy,medium",0.350,0.389,wallet | sunglasses | gloves | clutch
accessories,ACCESSORIES,207,easy,"easy,medium",0.400,0.389,wallet | purse | backpack | umbrella
accessories,ACCESSORIES,193,medium,medium,0.450,0.431,watch | scarf | backpack | clutch
accessories,ACCESSORIES,196,medium,medium,0.500,0.431,hat | scarf | purse | sunglasses
accessories,ACCESSORIES,198,medium,medium,0.550,0.528,tie | purse | clutch | jewelry
accessories,ACCESSORIES,202,medium,medium,0.600,0.542,watch | suspenders | hats | eyewear
accessories,ACCESSORIES,204,medium,medium,0.650,0.556,brooch | belt | cufflinks | hats
accessories,ACCESSORIES,192,medium,medium,0.700,0.569,tie | belt | sunglasses | backpack
accessories,ACCESSORIES,200,medium,medium,0.750,0.583,watch | brooch | headband | handbag
accessories,ACCESSORIES,195,hard,hard,0.800,0.597,tie | scarf | gloves | umbrella
accessories,ACCESSORIES,201,hard,hard,0.850,0.681,hat | handbag | suspenders | cufflinks
accessories,ACCESSORIES,205,hard,hard,0.900,0.722,headband | belt | bowtie | suspenders
accessories,ACCESSORIES,203,hard,hard,0.950,0.764,tie | handbag | bowtie | hats
accessories,ACCESSORIES,208,hard,hard,1.000,0.931,tie | headband | cufflinks | eyewear
adhesives,GLUES AND TAPES,222,easy,easy,0.000,0.115,gum | tape | cement | paste
