severity,word_id,word,normalized,is_proper_noun,part_of_speech,category_key,category,review_status,obviousness_score,reason,conflict,recommended_action
P0,1485,Barqs,barqs,1,proper_noun,soda_brands,SODA BRANDS,approved,0.82,Barqs is an American soft drink brand,No familiarity value. Missing data must not default to approved.,Set status to candidate/review_required until familiarity is resolved.
P0,1643,Dreyers,dreyers,1,proper_noun,candy_bar_flavors,DAIRY BRANDS,approved,0.72,Dreyers is an American ice cream brand,No familiarity value. Missing data must not default to approved.,Set status to candidate/review_required until familiarity is resolved.
P0,1651,Edys,edys,1,proper_noun,candy_bar_flavors,DAIRY BRANDS,approved,0.72,Edys is an American ice cream brand,No familiarity value. Missing data must not default to approved.,Set status to candidate/review_required until familiarity is resolved.
P0,1736,WD40,wd40,1,proper_noun,paint_and_home,HARDWARE BRANDS,approved,0.62,WD40 is a brand sold at a hardware store,No familiarity value. Missing data must not default to approved.,Set status to candidate/review_required until familiarity is resolved.
P0,1700,Yuban,yuban,1,proper_noun,coffee_brands,COFFEE BRANDS,approved,0.72,Yuban is a coffee brand or coffee shop,No familiarity value. Missing data must not default to approved.,Set status to candidate/review_required until familiarity is resolved.
P0,9961,avgolemono,avgolemono,0,noun,world_soups,WORLD SOUPS,approved,0.68,Avgolemono is a soup from a world cuisine,No familiarity value. Missing data must not default to approved.,Set status to candidate/review_required until familiarity is resolved.
P0,8731,bullsnake,bullsnake,0,noun,snakes,SNAKES,approved,0.8,Bullsnake is a kind of snake,No familiarity value. Missing data must not default to approved.,Set status to candidate/review_required until familiarity is resolved.
P0,676,calfling,calfling,0,noun,animal_babies,BABY ANIMALS,approved,0.75,Calfling is the English word for a young animal,No familiarity value. Missing data must not default to approved.,Set status to candidate/review_required until familiarity is resolved.
P0,9795,crookneck,crookneck,0,noun,melons_and_squash,MELONS & SQUASH,approved,0.75,Crookneck is a variety of melon or squash,No familiarity value. Missing data must not default to approved.,Set status to candidate/review_required until familiarity is resolved.
P0,9864,croqueta,croqueta,0,noun,spanish_dishes,SPANISH DISHES,approved,0.75,Croqueta is a dish from Spanish cuisine,No familiarity value. Missing data must not default to approved.,Set status to candidate/review_required until familiarity is resolved.
P0,5336,drywaller,drywaller,0,noun,building_trades,BUILDING TRADES,approved,0.85,Drywaller is a skilled building trade,No familiarity value. Missing data must not default to approved.,Set status to candidate/review_required until familiarity is resolved.
P0,9867,escalivada,escalivada,0,noun,spanish_dishes,SPANISH DISHES,approved,0.75,Escalivada is a dish from Spanish cuisine,No familiarity value. Missing data must not default to approved.,Set status to candidate/review_required until familiarity is resolved.
P0,2197,galosh,galosh,0,noun,footwear,FOOTWEAR,approved,0.9,Galosh is worn on the feet,No familiarity value. Missing data must not default to approved.,Set status to candidate/review_required until familiarity is resolved.
P0,8818,glyptodon,glyptodon,0,noun,extinct_and_prehistoric,PREHISTORIC ANIMALS,approved,0.75,Glyptodon lived in prehistoric times,No familiarity value. Missing data must not default to approved.,Set status to candidate/review_required until familiarity is resolved.
P0,9962,harira,harira,0,noun,world_soups,WORLD SOUPS,approved,0.68,Harira is a soup from a world cuisine,No familiarity value. Missing data must not default to approved.,Set status to candidate/review_required until familiarity is resolved.
P0,9838,papadum,papadum,0,noun,indian_dishes,INDIAN DISHES,approved,0.75,Papadum is a dish from Indian cuisine,No familiarity value. Missing data must not default to approved.,Set status to candidate/review_required until familiarity is resolved.
P0,4866,scorepad,scorepad,0,noun,board_game_pieces,GAME PIECES,approved,0.75,Scorepad is a piece or part used in board games,No familiarity value. Missing data must not default to approved.,Set status to candidate/review_required until familiarity is resolved.
P0,9417,screwgun,screwgun,0,noun,hand_tools,HAND TOOLS,approved,0.9,Screwgun is a hand tool used for building or repair,No familiarity value. Missing data must not default to approved.,Set status to candidate/review_required until familiarity is resolved.
P0,9084,sidestroke,sidestroke,0,noun,swimming_strokes,SWIM STROKES,approved,0.78,Sidestroke is a stroke or event in swimming,No familiarity value. Missing data must not default to approved.,Set status to candidate/review_required until familiarity is resolved.
P0,1417,situp,situp,0,noun,exercise_words,EXERCISE WORDS,approved,0.8,Situp is done as physical exercise,No familiarity value. Missing data must not default to approved.,Set status to candidate/review_required until familiarity is resolved.
P1,8806,australorp,australorp,0,noun,farm_poultry_breeds,CHICKEN BREEDS,hard_only,0.6,Australorp is a breed of chicken,No familiarity value. Missing data must not default to approved.,Set status to candidate/review_required until familiarity is resolved.
P1,9980,babouche,babouche,0,noun,world_hats_and_dress,TRADITIONAL FOOTWEAR,hard_only,0.55,Babouche is traditional footwear from a world culture,No familiarity value. Missing data must not default to approved.,Set status to candidate/review_required until familiarity is resolved.
P1,1005,jaguarundi,jaguarundi,0,noun,wild_cats_small,SMALL CATS,hard_only,0.62,Jaguarundi is a small wild cat,No familiarity value. Missing data must not default to approved.,Set status to candidate/review_required until familiarity is resolved.
P1,9981,jutti,jutti,0,noun,world_hats_and_dress,TRADITIONAL FOOTWEAR,hard_only,0.55,Jutti is traditional footwear from a world culture,No familiarity value. Missing data must not default to approved.,Set status to candidate/review_required until familiarity is resolved.
P1,2496,tarboosh,tarboosh,0,noun,world_hats,WORLD HATS,hard_only,0.62,Tarboosh is traditional headwear from a world culture,No familiarity value. Missing data must not default to approved.,Set status to candidate/review_required until familiarity is resolved.
P1,7484,viperfish,viperfish,0,noun,deep_sea,DEEP SEA,hard_only,0.65,Viperfish is found in the deep ocean,No familiarity value. Missing data must not default to approved.,Set status to candidate/review_required until familiarity is resolved.
