level,group_index,reference_name,label_source,decision,rule_key,rule_type,name_rank,members_present,members_missing,candidates
1,1,farm animals,inferred,reuse,farm_animals,taxonomy_instances,3,4,0,farm_animals:3/4; livestock:0/4; pack_animals:0/1; ranch_words:0/1; transportation_history:0/1
1,2,colors,inferred,reuse,colors,taxonomy_instances,3,4,0,colors:3/4; tomato_varieties:0/2; olive_types:0/1; potato_varieties:0/1; rice_types:0/1
1,3,vehicles,inferred,reuse,vehicles,taxonomy_instances,3,4,0,vehicles:3/4; things_with_wheels:0/3; world_transport:0/1; heavy_things:0/1; things_that_carry_people:0/1
1,4,compass,observed,reuse,directions,taxonomy_instances,0,4,0,directions:0/4; map_words:0/4; parts_of_the_americas:0/2
1,5,days of the week,inferred,reuse,days_and_parts_of_day,taxonomy_instances,0,4,0,days_and_parts_of_day:0/4
2,1,vegetables,inferred,reuse,vegetables,taxonomy_instances,3,4,0,vegetables:3/4; root_vegetables:1/3; salad_ingredients:0/3; soup_ingredients:0/3; garden_plants:0/2
2,2,fruits,observed,reuse,fruits,taxonomy_instances,3,4,0,fruits:3/4; fruit_trees:0/3; things_with_seeds:0/3; round_things:0/2; citrus_fruits:1/1
2,3,kitchen tools,inferred,reuse,kitchen_tools,functional_group,3,4,0,kitchen_tools:3/4; table_setting:0/4; silverware:0/3; model_building:0/1; printing_words:0/1
2,4,shapes,observed,reuse,shapes,taxonomy_instances,3,4,0,shapes:3/4; payment_brands:0/1; music_class_things:0/1; percussion:0/1; yoga_poses:0/1
2,5,house,observed,new_rule,ref_house,context_hub,0,0,4,
2,6,nature,inferred,new_rule,ref_nature,association_hub,0,0,4,
2,7,dessert,inferred,reuse,sweets,taxonomy_instances,0,4,0,sweets:0/4; desserts:2/3; baked_goods:0/1; experiments:0/1; magic_creatures:0/1
2,8,driving,inferred,reuse,on_the_road,context_hub,0,3,1,on_the_road:0/3; driving_actions:1/1; slow_things:0/1; striped_things:0/1; city_sounds:0/1
3,1,food,inferred,new_rule,ref_food_staples,taxonomy_instances,0,0,4,
3,2,school,inferred,new_rule,ref_school,context_hub,0,0,4,
3,3,body parts,inferred,reuse,body_parts,taxonomy_instances,3,4,0,body_parts:3/4; face_parts:0/2; farm_jobs:0/1; clock_words:0/1; giving_and_taking:0/1
3,4,school subjects,observed,reuse,school_subjects,taxonomy_instances,3,4,0,school_subjects:3/4; magazines:0/1; book_genres:0/1; words_before_work:0/1; things_on_a_wall:0/1
3,5,toys,inferred,reuse,toys,taxonomy_instances,3,4,0,toys:3/4; toy_chest:0/1; birds_of_prey:0/1; juggling_words:0/1; bowling_words:0/1
3,6,accessories,inferred,reuse,accessories,taxonomy_instances,3,4,0,accessories:3/4; fashion_accessories:1/3; things_made_of_leather:0/2; things_you_tie:0/2; clothing_items:0/2
