severity,category_key,category,hard_only_count,total_links,hard_share_total,issue,recommended_action
P1,dinosaurs,DINOSAURS,7,12,0.5833,Category meets the stated majority-hard criterion but is missing from 04_flags.md section 4.,Fix export_review_pack.py so the section is complete or explicitly label it as a top-N sample.
P1,dog_breeds_more,MORE BREEDS,11,20,0.55,Category meets the stated majority-hard criterion but is missing from 04_flags.md section 4.,Fix export_review_pack.py so the section is complete or explicitly label it as a top-N sample.
P1,erosion_words,EROSION WORDS,7,13,0.5385,Category meets the stated majority-hard criterion but is missing from 04_flags.md section 4.,Fix export_review_pack.py so the section is complete or explicitly label it as a top-N sample.
P1,greek_dishes,GREEK DISHES,8,15,0.5333,Category meets the stated majority-hard criterion but is missing from 04_flags.md section 4.,Fix export_review_pack.py so the section is complete or explicitly label it as a top-N sample.
P1,magic_tricks,MAGIC PROPS,8,14,0.5714,Category meets the stated majority-hard criterion but is missing from 04_flags.md section 4.,Fix export_review_pack.py so the section is complete or explicitly label it as a top-N sample.
P1,mushrooms_and_fungi,FUNGI,7,12,0.5833,Category meets the stated majority-hard criterion but is missing from 04_flags.md section 4.,Fix export_review_pack.py so the section is complete or explicitly label it as a top-N sample.
P1,olive_types,OLIVE TYPES,7,12,0.5833,Category meets the stated majority-hard criterion but is missing from 04_flags.md section 4.,Fix export_review_pack.py so the section is complete or explicitly label it as a top-N sample.
P1,printing_and_type,TYPOGRAPHY WORDS,8,14,0.5714,Category meets the stated majority-hard criterion but is missing from 04_flags.md section 4.,Fix export_review_pack.py so the section is complete or explicitly label it as a top-N sample.
P1,quiet_sounds,QUIET SOUNDS,7,13,0.5385,Category meets the stated majority-hard criterion but is missing from 04_flags.md section 4.,Fix export_review_pack.py so the section is complete or explicitly label it as a top-N sample.
P1,shells,SEASHELLS,7,13,0.5385,Category meets the stated majority-hard criterion but is missing from 04_flags.md section 4.,Fix export_review_pack.py so the section is complete or explicitly label it as a top-N sample.
P1,soil_words,SOIL WORDS,8,14,0.5714,Category meets the stated majority-hard criterion but is missing from 04_flags.md section 4.,Fix export_review_pack.py so the section is complete or explicitly label it as a top-N sample.
P1,things_that_stretch,STRETCHY THINGS,8,14,0.5714,Category meets the stated majority-hard criterion but is missing from 04_flags.md section 4.,Fix export_review_pack.py so the section is complete or explicitly label it as a top-N sample.
P1,things_with_holes,THINGS WITH HOLES,9,16,0.5625,Category meets the stated majority-hard criterion but is missing from 04_flags.md section 4.,Fix export_review_pack.py so the section is complete or explicitly label it as a top-N sample.
P1,things_with_screens_history,OLD TECHNOLOGY,8,14,0.5714,Category meets the stated majority-hard criterion but is missing from 04_flags.md section 4.,Fix export_review_pack.py so the section is complete or explicitly label it as a top-N sample.
P1,traditional_clothing,TRADITIONAL CLOTHING,8,15,0.5333,Category meets the stated majority-hard criterion but is missing from 04_flags.md section 4.,Fix export_review_pack.py so the section is complete or explicitly label it as a top-N sample.
P1,vines,VINES AND CLIMBERS,8,14,0.5714,Category meets the stated majority-hard criterion but is missing from 04_flags.md section 4.,Fix export_review_pack.py so the section is complete or explicitly label it as a top-N sample.
P1,volcanoes,VOLCANOES,7,12,0.5833,Category meets the stated majority-hard criterion but is missing from 04_flags.md section 4.,Fix export_review_pack.py so the section is complete or explicitly label it as a top-N sample.
P1,water_sounds,WATER SOUNDS,8,14,0.5714,Category meets the stated majority-hard criterion but is missing from 04_flags.md section 4.,Fix export_review_pack.py so the section is complete or explicitly label it as a top-N sample.
P1,whaling_and_fishing,FISHING FLEET,8,14,0.5714,Category meets the stated majority-hard criterion but is missing from 04_flags.md section 4.,Fix export_review_pack.py so the section is complete or explicitly label it as a top-N sample.
P1,wildflowers,WILDFLOWERS,8,14,0.5714,Category meets the stated majority-hard criterion but is missing from 04_flags.md section 4.,Fix export_review_pack.py so the section is complete or explicitly label it as a top-N sample.
P1,words_before_ground,___ GROUND,8,14,0.5714,Category meets the stated majority-hard criterion but is missing from 04_flags.md section 4.,Fix export_review_pack.py so the section is complete or explicitly label it as a top-N sample.
P1,words_before_master,___ MASTER,8,14,0.5714,Category meets the stated majority-hard criterion but is missing from 04_flags.md section 4.,Fix export_review_pack.py so the section is complete or explicitly label it as a top-N sample.
P1,words_before_stone,___ STONE,9,16,0.5625,Category meets the stated majority-hard criterion but is missing from 04_flags.md section 4.,Fix export_review_pack.py so the section is complete or explicitly label it as a top-N sample.
P1,world_hats,WORLD HATS,7,12,0.5833,Category meets the stated majority-hard criterion but is missing from 04_flags.md section 4.,Fix export_review_pack.py so the section is complete or explicitly label it as a top-N sample.
P1,world_hats_and_dress,TRADITIONAL FOOTWEAR,6,10,0.6,Category meets the stated majority-hard criterion but is missing from 04_flags.md section 4.,Fix export_review_pack.py so the section is complete or explicitly label it as a top-N sample.
P1,world_teas_and_drinks,TRADITIONAL DRINKS,9,15,0.6,Category meets the stated majority-hard criterion but is missing from 04_flags.md section 4.,Fix export_review_pack.py so the section is complete or explicitly label it as a top-N sample.
