severity,category_key,category,affected_words,issue,recommended_action,source_url
P0,opposites,OPPOSITES,all words,"The category is pair-structured, but the data has no explicit opposite pairs. A random group of four can be incoherent.",Store pair_id/pair_index and generate only two complete opposite pairs per quartet.,
P0,category_generation_model,GLOBAL,all categories,"The database stores pools, not reviewed four-word solutions. Overlapping broad/subtype categories can create multiple valid answers.","Add curated quartets, category conflicts, and a uniqueness solver before automatic level generation.",
P0,butterflies_and_moths,BUTTERFLIES AND MOTHS,gypsy moth,Outdated common name with an ethnic slur; the approved modern name is spongy moth.,Replace with spongy moth and add terminology/risk lifecycle checks.,https://www.aphis.usda.gov/news/agency-announcements/aphis-announces-new-common-names-regulated-lymantria-moths
P0,candy_bar_flavors,DAIRY BRANDS,Eskimo Pie,The product was renamed Edy's Pie; the old name is culturally sensitive and obsolete.,Replace/remove the legacy name and review Dreyers/Edys duplication.,https://www.foodbusinessnews.net/articles/16994-dreyers-eskimo-pie-rebranded-as-edys-pie
P1,world_dances,WORLD DANCES,kabuki,"Kabuki is a form of Japanese theater, not a dance style.",Reject from this category or move to theater/performing arts.,
P1,arctic_animals,ARCTIC ANIMALS,penguin; rule wording,"The label says Arctic, while the rule says polar regions and the pool includes penguin.",Rename to POLAR ANIMALS or remove Antarctic-only examples and tighten the rule.,
P1,crustaceans,CRUSTACEANS,crayfish; pill bug; rule wording,"The rule says sea creatures, but the pool includes freshwater and terrestrial crustaceans.","Use the taxonomic rule ""animals classed as crustaceans"" or split by habitat.",
P1,seals_and_walruses,SEAL FAMILY,walrus,"The rule says kinds of seal and sea lion, but includes walrus.",Rename to PINNIPEDS or explicitly include walrus in the rule.,
P1,waterfowl,WATERFOWL,heron; ibis; egret,"The pool mixes swimming waterfowl and wading birds, contradicting the current rule.",Remove waders or rename/split the category.,
P1,worms_and_crawlers,WORMS,ringworm; glowworm; inchworm; silkworm,"Several entries are a disease or insect larvae/common names, not kinds of true worm.",Rename to WORDS ENDING IN WORM or keep only actual worms.,
P1,insects,INSECTS,spider; centipede; tick,"The hidden label INSECTS is taxonomically false for several pool members, even though the rule admits other bugs.",Rename to BUGS or remove non-insects.,
P1,sleeping_actions,SLEEP ACTIONS,wake,"Wake contradicts ""while sleeping or falling asleep"".",Remove wake or rewrite category as SLEEP CYCLE ACTIONS.,
P1,ways_of_looking,WAYS OF LOOKING,blink,"Blink is an eye action, not a way of looking at something.",Remove or move to eye/body actions.,
P1,board_games,BOARD GAMES,Jenga; dominoes; Yahtzee,"The rule requires a board, but several included games do not use one.",Rename to TABLETOP GAMES or narrow the pool.,
P1,animal_groups,ANIMAL GROUPS,hive; nest,These are primarily structures/places rather than clear collective nouns in this context.,Remove or add exact animal-group usage and sense data.,
P1,candy_bar_flavors,DAIRY BRANDS,category key; label; rule; Dreyers; Edys,Stale internal key and mismatch between DAIRY BRANDS label and ice-cream-brand rule; duplicate regional brands are treated as separate words.,"Rename key/label, model brand aliases, and decide whether products and manufacturers are mixed.",
P1,bank_brands,BANK BRANDS,Visa; Mastercard; Amex; Discover,"The category mixes banks, card issuers and payment networks.",Split into BANKS and PAYMENT/CARD BRANDS or rename explicitly.,
P1,card_and_dice_games,CLASSIC GAMES,category key; entire pool,Stale key and subjective broad rule; heavy overlap with PLAYGROUND GAMES and BOARD GAMES.,Split by objective gameplay type and add do-not-pair constraints.,
P1,animal_babies,BABY ANIMALS,calfling,Approved despite missing familiarity data; likely unsuitable for an average American casual player.,Move to review_required or remove until native-speaker/frequency validation.,
P1,amphibians_and_bugs,AMPHIBIANS,tadpole; treefrog/tree frog,"Tadpole is a life stage, and treefrog is duplicated elsewhere as ""tree frog"" with a different familiarity/status.",Use species/common animal names consistently and canonicalize the spelling alias.,
P1,jellyfish_and_soft,SOFT CREATURES,entire pool,The rule is subjective and open-ended; many unrelated marine invertebrates fit.,Replace with a taxonomic/objective category or curate fixed quartets only.,
P1,flags_and_symbols,NATIONAL SYMBOLS,bear; rose; tulip; lion; dragon; star,"Country association is not encoded, so arbitrary quartets have no shared specific country relation.","Store country IDs and build country-specific quartets, or use only universal state symbols.",
P1,extinct_animals,EXTINCT ANIMALS,dinosaur; raptor; saber tooth,"The rule says species, but several entries are broad groups or informal names.","Rewrite the rule to ""extinct animals/types people recognize"" or use species-level names consistently.",
P1,things_on_a_keychain,KEYCHAIN THINGS,key,Key is marked hard_only even though it is the defining object of the category.,Promote to approved; re-check the category status model.,
P1,screens,THINGS WITH SCREENS,ATM; camera; e-reader; microwave; treadmill,Common screen-bearing devices are hard_only despite obviousness_score 0.80.,Promote obvious entries and fix relative-only status assignment.,
P1,latin_phrases,LATIN PHRASES,all 15,"Every entry is hard_only, including agenda, alibi, versus, per se, status quo and vice versa.",Reclassify common expressions; reserve rare phrases for hard levels.,
P1,deserts_and_wild_places,DESERTS,all 10,"Every entry is hard_only, including Sahara, Gobi, Mojave and Death Valley.",Promote widely known deserts and recalibrate status thresholds.,
P1,musical_instruments,MUSICAL INSTRUMENTS,xylophone,Xylophone is hard_only despite obviousness_score 0.92 and a common instrument identity.,Promote and audit all hard_only rows with high obviousness.,
P1,display_orthography,GLOBAL,Kitkat; Reeses; Haagen Dazs; Ben and Jerry; OHare; St Patricks Day; Pac Man; rubiks cube; McDonalds,"Canonical display spelling, punctuation and trademarks are not consistently preserved.",Add sense-level canonical display_text and alias fields; keep normalized search text separate.,
P1,action_senses,GLOBAL,drill; nail; bill; button; note,"Some action memberships point to noun senses, e.g. drill_tool in BUILDING ACTIONS and bill_money in MONEY ACTIONS.",Create/assign verb senses and validate relation_type against sense part_of_speech.,
