word,normalized,familiarity_score,rejected_membership_count,categories,recommended_action
F150,f150,0.097,1,car_models:CAR MODELS,Not playable anywhere. Keep as rejected candidate or mark word inactive; exclude from headline playable vocabulary count.
mudpuppy,mudpuppy,0.144,1,amphibians_and_bugs:AMPHIBIANS,Not playable anywhere. Keep as rejected candidate or mark word inactive; exclude from headline playable vocabulary count.
mukluk,mukluk,0.144,1,world_hats_and_dress:TRADITIONAL FOOTWEAR,Not playable anywhere. Keep as rejected candidate or mark word inactive; exclude from headline playable vocabulary count.
chiffonade,chiffonade,0.146,1,french_cooking_terms:FRENCH COOKING,Not playable anywhere. Keep as rejected candidate or mark word inactive; exclude from headline playable vocabulary count.
marionberry,marionberry,0.146,1,berry_varieties:BERRY VARIETIES,Not playable anywhere. Keep as rejected candidate or mark word inactive; exclude from headline playable vocabulary count.
caecilian,caecilian,0.147,1,amphibians_and_bugs:AMPHIBIANS,Not playable anywhere. Keep as rejected candidate or mark word inactive; exclude from headline playable vocabulary count.
fattoush,fattoush,0.147,1,middle_eastern_dishes:MIDDLE EASTERN,Not playable anywhere. Keep as rejected candidate or mark word inactive; exclude from headline playable vocabulary count.
casaba,casaba,0.149,1,melons_and_squash:MELONS & SQUASH,Not playable anywhere. Keep as rejected candidate or mark word inactive; exclude from headline playable vocabulary count.
taramasalata,taramasalata,0.149,1,greek_dishes:GREEK DISHES,Not playable anywhere. Keep as rejected candidate or mark word inactive; exclude from headline playable vocabulary count.
numbat,numbat,0.153,1,marsupials:MARSUPIALS,Not playable anywhere. Keep as rejected candidate or mark word inactive; exclude from headline playable vocabulary count.
degu,degu,0.154,1,exotic_pets:EXOTIC PETS,Not playable anywhere. Keep as rejected candidate or mark word inactive; exclude from headline playable vocabulary count.
shishito,shishito,0.154,1,pepper_varieties:PEPPER VARIETIES,Not playable anywhere. Keep as rejected candidate or mark word inactive; exclude from headline playable vocabulary count.
muffuletta,muffuletta,0.156,1,sandwich_types:SANDWICH TYPES,Not playable anywhere. Keep as rejected candidate or mark word inactive; exclude from headline playable vocabulary count.
shoat,shoat,0.157,1,baby_animal_words_more:YOUNG ANIMALS,Not playable anywhere. Keep as rejected candidate or mark word inactive; exclude from headline playable vocabulary count.
frigatebird,frigatebird,0.159,1,seabirds:SEABIRDS,Not playable anywhere. Keep as rejected candidate or mark word inactive; exclude from headline playable vocabulary count.
ritardando,ritardando,0.159,1,music_tempo_terms:TEMPO TERMS,Not playable anywhere. Keep as rejected candidate or mark word inactive; exclude from headline playable vocabulary count.
