level,categories,meta_categories,meta_share,start_bubbles,total_word_slots,max_meta_depth,quickwin_categories,words_zipf_lt_3,words_zipf_lt_2,min_zipf,median_zipf
1,5,0,0.0,20,20,0,5,0,0,3.98,4.88
2,8,0,0.0,32,32,0,8,0,0,3.21,4.42
3,8,1,0.125,31,32,1,7,0,0,3.55,4.52
4,10,2,0.2,38,40,1,6,2,1,1.32,4.66
5,11,2,0.182,42,44,1,5,7,0,2.65,4.0
6,11,1,0.091,43,44,1,9,1,0,2.97,4.07
7,12,6,0.5,42,48,1,8,1,0,2.89,4.64
8,12,2,0.167,46,48,1,8,6,1,1.72,3.91
9,10,3,0.3,37,40,1,6,2,0,2.38,3.92
10,8,0,0.0,32,32,0,7,1,0,2.77,4.39
11,12,5,0.417,43,48,1,8,1,0,2.9,4.09
12,12,1,0.083,47,48,1,9,2,0,2.67,4.33
13,8,4,0.5,28,32,1,4,2,1,1.98,4.08
14,10,6,0.6,34,40,1,5,4,0,2.01,3.89
15,7,1,0.143,27,28,1,4,4,0,2.15,3.54
16,9,5,0.556,31,36,1,3,6,0,2.11,3.92
17,11,4,0.364,40,44,1,4,11,0,2.53,3.8
18,11,5,0.455,39,44,1,6,3,0,2.64,3.94
19,9,4,0.444,32,36,1,7,0,0,3.08,4.11
20,8,3,0.375,29,32,1,4,1,0,2.63,4.16
21,8,2,0.25,30,32,1,5,4,1,1.94,3.84
22,10,4,0.4,36,40,1,5,2,0,2.61,4.14
23,9,3,0.333,33,36,1,5,2,0,2.52,3.91
24,7,1,0.143,27,28,1,4,3,0,2.64,3.87
25,9,2,0.222,34,36,1,5,2,0,2.74,4.42
26,9,1,0.111,35,36,1,5,4,0,2.56,3.62
27,12,6,0.5,42,48,1,4,7,0,2.25,3.67
28,10,4,0.4,36,40,1,5,3,0,2.8,4.11
29,9,2,0.222,34,36,1,5,3,1,1.7,4.08
30,10,4,0.4,36,40,1,5,3,0,2.64,4.12
31,9,3,0.333,33,36,1,5,4,0,2.87,3.96
32,11,7,0.636,37,44,1,6,1,0,2.56,4.05
33,11,6,0.545,38,44,1,5,3,0,2.64,3.81
34,10,4,0.4,36,40,2,3,8,0,2.46,3.83
35,10,6,0.6,34,40,1,6,0,0,3.0,4.14
36,6,0,0.0,24,24,0,4,3,1,1.74,3.81
37,10,5,0.5,35,40,1,3,9,3,1.48,3.62
38,9,4,0.444,32,36,1,4,6,0,2.34,3.45
39,11,7,0.636,37,44,1,5,3,0,2.64,3.96
