word_id,word,normalized,is_proper_noun,familiarity_score,playable_category_count,theme_count,categories,recommended_action
2885,bell,bell,1,0.656,13,10,classroom_things:CLASSROOM THINGS | music_class_things:MUSIC CLASS | things_made_of_metal:METAL THINGS | things_that_ring:RINGING THINGS | inventors:INVENTORS | loud_things:LOUD THINGS | church_things:CHURCH THINGS | monastery_life:MONASTERY THINGS | city_sounds:CITY SOUNDS | bell_and_alarm:ALARM SOUNDS | boxing_words:BOXING WORDS | parts_of_a_bike:BICYCLE PARTS | pepper_varieties:PEPPER VARIETIES,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
2472,rose,rose,1,0.689,10,7,flags_and_symbols:NATIONAL SYMBOLS | perfume_words:FRAGRANCE WORDS | nature_names:NATURE NAMES | short_names:SHORT NAMES | flowers:FLOWERS | garden_plants:GARDEN PLANTS | garden_flowers_summer:SUMMER FLOWERS | shrubs:SHRUBS AND BUSHES | red_things:RED THINGS | wines_and_drinks:WINE & BEER,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
4117,glacier,glacier,1,0.511,10,6,things_that_melt:MELTING THINGS | landforms:LANDFORMS | cold_places:COLD PLACES | water_states:FORMS OF WATER | mountain_things:MOUNTAIN THINGS | national_parks_us:NATIONAL PARKS | cold_things:COLD THINGS | slow_things:SLOW THINGS | things_that_shrink:SHRINKING THINGS | rock_cycle_words:GEOLOGY WORDS,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
1635,Charger,charger,1,0.52,8,5,car_models:CAR MODELS | things_that_plug_in:PLUGGED IN | things_in_a_purse:PURSE THINGS | things_in_a_glove_box:GLOVE BOX | computer_parts:COMPUTER PARTS | phone_words:PHONE WORDS | power_and_batteries:POWER WORDS | travel_documents:TRAVEL THINGS,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
6361,Jasmine,jasmine,1,0.516,7,7,disney_characters:DISNEY CHARACTERS | nature_names:NATURE NAMES | flowers:FLOWERS | vines:VINES AND CLIMBERS | rice_types:RICE TYPES | teas:TEAS | tropical_flowers:TROPICAL FLOWERS,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
6881,Fern,fern,1,0.467,7,4,nature_names:NATURE NAMES | garden_plants:GARDEN PLANTS | wild_plants:WILD PLANTS | things_in_the_forest:FOREST THINGS | houseplants:HOUSEPLANTS | tropical_plants:TROPICAL PLANTS | green_things:GREEN THINGS,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
1646,Popsicle,popsicle,1,0.403,7,4,candy_bar_flavors:DAIRY BRANDS | desserts:DESSERTS | snack_foods:SNACK FOODS | things_that_melt:MELTING THINGS | frozen_foods:FROZEN FOODS | seasons_summer:SUMMER THINGS | cold_things:COLD THINGS,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
4877,flash,flash,1,0.636,6,6,photography_hobby:PHOTOGRAPHY GEAR | photography_terms:CAMERA SETTINGS | words_before_light:___ LIGHT | superheroes:SUPERHEROES | juggling_words:JUGGLING WORDS | photography_words:PHOTOGRAPHY WORDS,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
6875,Ivy,ivy,1,0.547,6,3,nature_names:NATURE NAMES | garden_plants:GARDEN PLANTS | wild_plants:WILD PLANTS | houseplants:HOUSEPLANTS | weeds:WEEDS | vines:VINES AND CLIMBERS,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
683,buzz,buzz,1,0.579,6,3,animal_sounds:ANIMAL SOUNDS | disney_characters:DISNEY CHARACTERS | onomatopoeia:SOUND WORDS | machine_sounds:MACHINE SOUNDS | nature_sounds:NATURE SOUNDS | bell_and_alarm:ALARM SOUNDS,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
711,tiger,tiger,1,0.614,6,3,jungle_animals:JUNGLE ANIMALS | wild_cats:WILD CATS | zoo_animals:ZOO ANIMALS | spotted_and_striped:STRIPED ANIMALS | pet_names:PET NAMES | striped_things:STRIPED THINGS,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
4333,Jordan,jordan,1,0.644,5,5,asian_countries:ASIAN COUNTRIES | place_names_as_names:PLACE NAMES | unisex_names:UNISEX NAMES | middle_east_places:MIDDLE EAST | sports_legends:SPORTS LEGENDS,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
1522,Subway,subway,1,0.579,5,5,fast_food_chains:FAST FOOD | city_words:CITY WORDS | underground_things:UNDERGROUND THINGS | underground_places:UNDERGROUND PLACES | vehicles:VEHICLES,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
1183,amber,amber,1,0.567,5,5,color_words_advanced:SHADES OF COLOR | perfume_words:FRAGRANCE WORDS | precious_materials:PRECIOUS MATERIALS | nature_names:NATURE NAMES | ocean_products:SEA HARVEST,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
1757,cash,cash,1,0.703,5,5,money_words:MONEY WORDS | words_before_box:___ BOX | famous_musicians:MUSIC LEGENDS | things_in_a_wallet:WALLET THINGS | world_markets:MARKET WORDS,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
622,beetle,beetle,1,0.504,5,4,insects:INSECTS | animals_with_shells:ANIMALS WITH SHELLS | car_models:CAR MODELS | pest_control:CROP PESTS | garden_bugs:GARDEN BUGS,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
2938,dean,dean,1,0.629,5,4,college_words:COLLEGE WORDS | school_jobs:SCHOOL JOBS | famous_job_titles:LEADERSHIP TITLES | short_names:SHORT NAMES | titles_of_address:TITLES,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
479,rain,rain,1,0.673,5,4,weather_actions:WEATHER ACTIONS | nature_names:NATURE NAMES | weather_words:WEATHER WORDS | water_states:FORMS OF WATER | seasons_spring:SPRING THINGS,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
576,robin,robin,1,0.619,5,4,birds:BIRDS | flying_animals:FLYING ANIMALS | superheroes:SUPERHEROES | seasons_spring:SPRING THINGS | songbirds:SONGBIRDS,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
5717,mark,mark,1,0.721,5,3,words_after_water:WATER ___ | words_after_book:WORDS AFTER BOOK | bible_books:BIBLE BOOKS | biblical_names:BIBLICAL NAMES | short_names:SHORT NAMES,Word-level casing/proper-noun flag is unsafe across multiple meanings. Move display text and proper-noun status to the sense.
